char,unihan_stroke,unihan_form,form_source,radical_no,residual,unicode_version
彷,7,彷,unihan:identity,60,4,17.0.0
役,7,役,unihan:identity,60,4,17.0.0
彻,15,徹,char-table:preferred-traditional+unihan:kTraditionalVariant,60,12,17.0.0
彼,8,彼,unihan:identity,60,5,17.0.0
往,8,往,unihan:identity,60,5,17.0.0
征,15,徵,char-table:preferred-traditional+unihan:kTraditionalVariant,60,12,17.0.0
徂,8,徂,unihan:identity,60,5,17.0.0
径,10,徑,char-table:preferred-traditional+unihan:kTraditionalVariant,60,7,17.0.0
待,9,待,unihan:identity,60,6,17.0.0
徇,9,徇,unihan:identity,60,6,17.0.0
很,9,很,unihan:identity,60,6,17.0.0
徉,9,徉,unihan:identity,60,6,17.0.0
徊,9,徊,unihan:identity,60,6,17.0.0
律,9,律,unihan:identity,60,6,17.0.0
徐,10,徐,unihan:identity,60,7,17.0.0
徒,10,徒,unihan:identity,60,7,17.0.0
徕,11,徠,char-table:preferred-traditional+unihan:kTraditionalVariant,60,8,17.0.0
得,11,得,unihan:identity,60,8,17.0.0
徘,11,徘,unihan:identity,60,8,17.0.0
徙,11,徙,unihan:identity,60,8,17.0.0
徛,11,徛,unihan:identity,60,8,17.0.0
徜,11,徜,unihan:identity,60,8,17.0.0
御,16,禦,char-table:preferred-traditional+unihan:kTraditionalVariant,113,11,17.0.0
徨,12,徨,unihan:identity,60,9,17.0.0
循,12,循,unihan:identity,60,9,17.0.0
徭,13,徭,unihan:identity,60,10,17.0.0
微,13,微,unihan:identity,60,10,17.0.0
徵,15,徵,unihan:identity,60,12,17.0.0
德,15,德,unihan:identity,60,12,17.0.0
徼,16,徼,unihan:identity,60,13,17.0.0
徽,17,徽,unihan:identity,60,14,17.0.0
心,4,心,unihan:identity,61,0,17.0.0
必,5,必,unihan:identity,61,1,17.0.0
忆,17,憶,char-table:preferred-traditional+unihan:kTraditionalVariant,61,13,17.0.0
忉,6,忉,unihan:identity,61,2,17.0.0
忌,7,忌,unihan:identity,61,3,17.0.0
忍,7,忍,unihan:identity,61,3,17.0.0
忏,21,懺,char-table:preferred-traditional+unihan:kTraditionalVariant,61,17,17.0.0
忐,7,忐,unihan:identity,61,3,17.0.0
忑,7,忑,unihan:identity,61,3,17.0.0
忒,7,忒,unihan:identity,61,3,17.0.0
忖,7,忖,unihan:identity,61,3,17.0.0
志,14,誌,unihan:kTraditionalVariant[17.0.0],149,7,17.0.0
忘,7,忘,unihan:identity,61,3,17.0.0
忙,7,忙,unihan:identity,61,3,17.0.0
忝,8,忝,unihan:identity,61,4,17.0.0
忞,8,忞,unihan:identity,61,4,17.0.0
忠,8,忠,unihan:identity,61,4,17.0.0
忡,8,忡,unihan:identity,61,4,17.0.0
忤,8,忤,unihan:identity,61,4,17.0.0
忧,15,憂,char-table:preferred-traditional+unihan:kTraditionalVariant,61,11,17.0.0
忪,8,忪,unihan:identity,61,4,17.0.0
快,8,快,unihan:identity,61,4,17.0.0
忭,8,忭,unihan:identity,61,4,17.0.0
忮,8,忮,unihan:identity,61,4,17.0.0
忱,8,忱,unihan:identity,61,4,17.0.0
忳,8,忳,unihan:identity,61,4,17.0.0
念,8,念,unihan:identity,61,4,17.0.0
忸,8,忸,unihan:identity,61,4,17.0.0
忺,8,忺,unihan:identity,61,4,17.0.0
忻,8,忻,unihan:identity,61,4,17.0.0
忽,8,忽,unihan:identity,61,4,17.0.0
忾,14,愾,char-table:preferred-traditional+unihan:kTraditionalVariant,61,10,17.0.0
忿,8,忿,unihan:identity,61,4,17.0.0
怀,20,懷,char-table:preferred-traditional+unihan:kTraditionalVariant,61,16,17.0.0
态,14,態,char-table:preferred-traditional+unihan:kTraditionalVariant,61,10,17.0.0
怂,15,慫,char-table:preferred-traditional+unihan:kTraditionalVariant,61,11,17.0.0
怃,16,憮,char-table:preferred-traditional+unihan:kTraditionalVariant,61,12,17.0.0
怄,15,慪,char-table:preferred-traditional+unihan:kTraditionalVariant,61,11,17.0.0
怅,12,悵,char-table:preferred-traditional+unihan:kTraditionalVariant,61,8,17.0.0
怆,14,愴,char-table:preferred-traditional+unihan:kTraditionalVariant,61,10,17.0.0
怊,9,怊,unihan:identity,61,5,17.0.0
怍,9,怍,unihan:identity,61,5,17.0.0
怎,9,怎,unihan:identity,61,5,17.0.0
怏,9,怏,unihan:identity,61,5,17.0.0
怒,9,怒,unihan:identity,61,5,17.0.0
怔,9,怔,unihan:identity,61,5,17.0.0
怕,9,怕,unihan:identity,61,5,17.0.0
怖,9,怖,unihan:identity,61,5,17.0.0
怙,9,怙,unihan:identity,61,5,17.0.0
怛,9,怛,unihan:identity,61,5,17.0.0
怜,16,憐,char-table:preferred-traditional+unihan:kTraditionalVariant,61,12,17.0.0
思,9,思,unihan:identity,61,5,17.0.0
怠,9,怠,unihan:identity,61,5,17.0.0
怡,9,怡,unihan:identity,61,5,17.0.0
急,9,急,unihan:identity,61,5,17.0.0
怦,9,怦,unihan:identity,61,5,17.0.0
性,9,性,unihan:identity,61,5,17.0.0
怨,9,怨,unihan:identity,61,5,17.0.0
怩,9,怩,unihan:identity,61,5,17.0.0
怪,9,怪,unihan:identity,61,5,17.0.0
怫,9,怫,unihan:identity,61,5,17.0.0
怯,9,怯,unihan:identity,61,5,17.0.0
怵,9,怵,unihan:identity,61,5,17.0.0
总,17,總,char-table:preferred-traditional+unihan:kTraditionalVariant,120,11,17.0.0
怼,18,懟,char-table:preferred-traditional+unihan:kTraditionalVariant,61,14,17.0.0
怿,17,懌,char-table:preferred-traditional+unihan:kTraditionalVariant,61,13,17.0.0
恁,10,恁,unihan:identity,61,6,17.0.0
恂,10,恂,unihan:identity,61,6,17.0.0
恃,10,恃,unihan:identity,61,6,17.0.0
恋,23,戀,char-table:preferred-traditional+unihan:kTraditionalVariant,61,19,17.0.0
恍,10,恍,unihan:identity,61,6,17.0.0
恐,10,恐,unihan:identity,61,6,17.0.0
恒,10,恆,unihan:kTraditionalVariant[17.0.0],61,6,17.0.0
恓,10,恓,unihan:identity,61,6,17.0.0
恔,10,恔,unihan:identity,61,6,17.0.0
恕,10,恕,unihan:identity,61,6,17.0.0
恙,10,恙,unihan:identity,61,6,17.0.0
恚,10,恚,unihan:identity,61,6,17.0.0
恝,10,恝,unihan:identity,61,6,17.0.0
恢,10,恢,unihan:identity,61,6,17.0.0
恣,10,恣,unihan:identity,61,6,17.0.0
恤,10,恤,unihan:identity,61,6,17.0.0
恧,10,恧,unihan:identity,61,6,17.0.0
恨,10,恨,unihan:identity,61,6,17.0.0
恩,10,恩,unihan:identity,61,6,17.0.0
恪,10,恪,unihan:identity,61,6,17.0.0
恫,10,恫,unihan:identity,61,6,17.0.0
恬,10,恬,unihan:identity,61,6,17.0.0
恭,10,恭,unihan:identity,61,6,17.0.0
息,10,息,unihan:identity,61,6,17.0.0
恰,10,恰,unihan:identity,61,6,17.0.0
恳,17,懇,char-table:preferred-traditional+unihan:kTraditionalVariant,61,13,17.0.0
恶,12,惡,char-table:preferred-traditional+unihan:kTraditionalVariant,61,8,17.0.0
恸,15,慟,char-table:preferred-traditional+unihan:kTraditionalVariant,61,11,17.0.0
恹,18,懨,char-table:preferred-traditional+unihan:kTraditionalVariant,61,14,17.0.0
恺,14,愷,char-table:preferred-traditional+unihan:kTraditionalVariant,61,10,17.0.0
恻,13,惻,char-table:preferred-traditional+unihan:kTraditionalVariant,61,9,17.0.0
恼,13,惱,char-table:preferred-traditional+unihan:kTraditionalVariant,61,9,17.0.0
恽,13,惲,char-table:preferred-traditional+unihan:kTraditionalVariant,61,9,17.0.0
恿,11,恿,unihan:identity,61,7,17.0.0
悃,11,悃,unihan:identity,61,7,17.0.0
悄,11,悄,unihan:identity,61,7,17.0.0
悆,11,悆,unihan:identity,61,7,17.0.0
悈,11,悈,unihan:identity,61,7,17.0.0
悉,11,悉,unihan:identity,61,7,17.0.0
悌,11,悌,unihan:identity,61,7,17.0.0
悍,11,悍,unihan:identity,61,7,17.0.0
悒,11,悒,unihan:identity,61,7,17.0.0
悔,11,悔,unihan:identity,61,7,17.0.0
悖,11,悖,unihan:identity,61,7,17.0.0
悚,11,悚,unihan:identity,61,7,17.0.0
悛,11,悛,unihan:identity,61,7,17.0.0
悝,11,悝,unihan:identity,61,7,17.0.0
悟,11,悟,unihan:identity,61,7,17.0.0
悠,11,悠,unihan:identity,61,7,17.0.0
悢,11,悢,unihan:identity,61,7,17.0.0
患,11,患,unihan:identity,61,7,17.0.0
悦,11,悅,unihan:kTraditionalVariant[17.0.0],61,7,17.0.0
您,11,您,unihan:identity,61,7,17.0.0
悫,15,慤,char-table:preferred-traditional+unihan:kTraditionalVariant,61,11,17.0.0
悬,20,懸,char-table:preferred-traditional+unihan:kTraditionalVariant,61,16,17.0.0
悭,15,慳,char-table:preferred-traditional+unihan:kTraditionalVariant,61,11,17.0.0
悯,16,憫,char-table:preferred-traditional+unihan:kTraditionalVariant,61,12,17.0.0
悰,12,悰,unihan:identity,61,8,17.0.0
悱,12,悱,unihan:identity,61,8,17.0.0
悲,12,悲,unihan:identity,61,8,17.0.0
悴,12,悴,unihan:identity,61,8,17.0.0
悸,12,悸,unihan:identity,61,8,17.0.0
悻,12,悻,unihan:identity,61,8,17.0.0
悼,12,悼,unihan:identity,61,8,17.0.0
情,12,情,unihan:identity,61,8,17.0.0
惆,12,惆,unihan:identity,61,8,17.0.0
惇,12,惇,unihan:identity,61,8,17.0.0
惊,23,驚,char-table:preferred-traditional+unihan:kTraditionalVariant,187,13,17.0.0
惋,12,惋,unihan:identity,61,8,17.0.0
惎,12,惎,unihan:identity,61,8,17.0.0
惑,12,惑,unihan:identity,61,8,17.0.0
惔,12,惔,unihan:identity,61,8,17.0.0
惕,12,惕,unihan:identity,61,8,17.0.0
惘,12,惘,unihan:identity,61,8,17.0.0
惙,12,惙,unihan:identity,61,8,17.0.0
惚,12,惚,unihan:identity,61,8,17.0.0
惛,12,惛,unihan:identity,61,8,17.0.0
惜,12,惜,unihan:identity,61,8,17.0.0
惝,12,惝,unihan:identity,61,8,17.0.0
惟,12,惟,unihan:identity,61,8,17.0.0
惠,12,惠,unihan:identity,61,8,17.0.0
惦,12,惦,unihan:identity,61,8,17.0.0
惧,22,懼,char-table:preferred-traditional+unihan:kTraditionalVariant,61,18,17.0.0
惨,15,慘,char-table:preferred-traditional+unihan:kTraditionalVariant,61,11,17.0.0
惩,19,懲,char-table:preferred-traditional+unihan:kTraditionalVariant,61,15,17.0.0
惫,16,憊,unihan:kTraditionalVariant[17.0.0],61,12,17.0.0
惬,13,愜,char-table:preferred-traditional+unihan:kTraditionalVariant,61,9,17.0.0
惭,15,慚,char-table:preferred-traditional+unihan:kTraditionalVariant,61,11,17.0.0
惮,16,憚,char-table:preferred-traditional+unihan:kTraditionalVariant,61,12,17.0.0
惯,15,慣,char-table:preferred-traditional+unihan:kTraditionalVariant,61,11,17.0.0
惰,13,惰,unihan:identity,61,9,17.0.0
想,13,想,unihan:identity,61,9,17.0.0
惴,13,惴,unihan:identity,61,9,17.0.0
惶,13,惶,unihan:identity,61,9,17.0.0
惹,13,惹,unihan:identity,61,9,17.0.0
惺,13,惺,unihan:identity,61,9,17.0.0
愀,13,愀,unihan:identity,61,9,17.0.0
愁,13,愁,unihan:identity,61,9,17.0.0
愃,13,愃,unihan:identity,61,9,17.0.0
愆,13,愆,unihan:identity,61,9,17.0.0
愈,13,愈,unihan:identity,61,9,17.0.0
愉,13,愉,unihan:identity,61,9,17.0.0
愍,13,愍,unihan:identity,61,9,17.0.0
愎,13,愎,unihan:identity,61,9,17.0.0
意,13,意,unihan:identity,61,9,17.0.0
愐,13,愐,unihan:identity,61,9,17.0.0
愔,13,愔,unihan:identity,61,9,17.0.0
愕,13,愕,unihan:identity,61,9,17.0.0
愚,13,愚,unihan:identity,61,9,17.0.0
感,13,感,unihan:identity,61,9,17.0.0
愠,14,慍,unihan:kTraditionalVariant[17.0.0],61,10,17.0.0
愣,13,愣,unihan:identity,61,9,17.0.0
愤,16,憤,char-table:preferred-traditional+unihan:kTraditionalVariant,61,12,17.0.0
愦,16,憒,char-table:preferred-traditional+unihan:kTraditionalVariant,61,12,17.0.0
愧,14,愧,unihan:identity,61,10,17.0.0
愫,14,愫,unihan:identity,61,10,17.0.0
愭,14,愭,unihan:identity,61,10,17.0.0
愿,19,願,char-table:preferred-traditional+unihan:kTraditionalVariant,181,10,17.0.0
慆,14,慆,unihan:identity,61,10,17.0.0
慈,14,慈,unihan:identity,61,10,17.0.0
慊,14,慊,unihan:identity,61,10,17.0.0
慌,14,慌,unihan:identity,61,10,17.0.0
慎,14,慎,unihan:identity,61,10,17.0.0
慑,22,懾,char-table:preferred-traditional+unihan:kTraditionalVariant,61,18,17.0.0
慕,15,慕,unihan:identity,61,11,17.0.0
慝,15,慝,unihan:identity,61,11,17.0.0
慢,15,慢,unihan:identity,61,11,17.0.0
慥,15,慥,unihan:identity,61,11,17.0.0
慧,15,慧,unihan:identity,61,11,17.0.0
慨,13,慨,unihan:identity,61,9,17.0.0
慬,15,慬,unihan:identity,61,11,17.0.0
慭,16,憖,char-table:preferred-traditional+unihan:kTraditionalVariant,61,12,17.0.0
慰,15,慰,unihan:identity,61,11,17.0.0
慵,15,慵,unihan:identity,61,11,17.0.0
慷,15,慷,unihan:identity,61,11,17.0.0
憋,16,憋,unihan:identity,61,12,17.0.0
憎,16,憎,unihan:identity,61,12,17.0.0
憔,16,憔,unihan:identity,61,12,17.0.0
憕,16,憕,unihan:identity,61,12,17.0.0
憙,16,憙,unihan:identity,61,12,17.0.0
憧,16,憧,unihan:identity,61,12,17.0.0
憨,16,憨,unihan:identity,61,12,17.0.0
憩,16,憩,unihan:identity,61,12,17.0.0
憬,16,憬,unihan:identity,61,12,17.0.0
憭,16,憭,unihan:identity,61,12,17.0.0
憷,17,憷,unihan:identity,61,13,17.0.0
憺,17,憺,unihan:identity,61,13,17.0.0
憾,17,憾,unihan:identity,61,13,17.0.0
懂,17,懂,unihan:identity,61,13,17.0.0
懈,17,懈,unihan:identity,61,13,17.0.0
懊,17,懊,unihan:identity,61,13,17.0.0
懋,17,懋,unihan:identity,61,13,17.0.0
懑,18,懣,char-table:preferred-traditional+unihan:kTraditionalVariant,61,14,17.0.0
懒,20,懶,char-table:preferred-traditional+unihan:kTraditionalVariant,61,16,17.0.0
懔,17,懍,unihan:kTraditionalVariant[17.0.0],61,13,17.0.0
懦,18,懦,unihan:identity,61,14,17.0.0
懵,20,懵,unihan:identity,61,16,17.0.0
懿,22,懿,unihan:identity,61,18,17.0.0
戆,28,戇,char-table:preferred-traditional+unihan:kTraditionalVariant,61,24,17.0.0
戈,4,戈,unihan:identity,62,0,17.0.0
戊,5,戊,unihan:identity,62,1,17.0.0
戋,8,戔,char-table:preferred-traditional+unihan:kTraditionalVariant,62,4,17.0.0
戌,6,戌,unihan:identity,62,2,17.0.0
戍,6,戍,unihan:identity,62,2,17.0.0
戎,6,戎,unihan:identity,62,2,17.0.0
戏,17,戲,char-table:preferred-traditional+unihan:kTraditionalVariant,62,13,17.0.0
成,6,成,unihan:identity,62,2,17.0.0
我,7,我,unihan:identity,62,3,17.0.0
戒,7,戒,unihan:identity,62,3,17.0.0
戕,8,戕,unihan:identity,62,4,17.0.0
或,8,或,unihan:identity,62,4,17.0.0
戗,14,戧,char-table:preferred-traditional+unihan:kTraditionalVariant,62,10,17.0.0
战,16,戰,char-table:preferred-traditional+unihan:kTraditionalVariant,62,12,17.0.0
戚,11,戚,unihan:identity,62,7,17.0.0
戛,11,戛,unihan:identity,62,7,17.0.0
戟,12,戟,unihan:identity,62,8,17.0.0
戡,13,戡,unihan:identity,62,9,17.0.0
戢,13,戢,unihan:identity,62,9,17.0.0
戣,13,戣,unihan:identity,62,9,17.0.0
戤,13,戤,unihan:identity,62,9,17.0.0
戥,13,戥,unihan:identity,62,9,17.0.0
截,14,截,unihan:identity,62,10,17.0.0
戬,14,戩,unihan:kTraditionalVariant[17.0.0],62,10,17.0.0
戭,15,戭,unihan:identity,62,11,17.0.0
戮,15,戮,unihan:identity,62,11,17.0.0
戳,18,戳,unihan:identity,62,14,17.0.0
戴,17,戴,unihan:identity,62,13,17.0.0
户,4,戶,unihan:kTraditionalVariant[17.0.0],63,0,17.0.0
戽,8,戽,unihan:identity,63,4,17.0.0
戾,8,戾,unihan:identity,63,4,17.0.0
房,8,房,unihan:identity,63,4,17.0.0
所,8,所,unihan:identity,63,4,17.0.0
扁,9,扁,unihan:identity,63,5,17.0.0
扂,9,扂,unihan:identity,63,5,17.0.0
扃,9,扃,unihan:identity,63,5,17.0.0
扅,10,扅,unihan:identity,63,6,17.0.0
扆,10,扆,unihan:identity,63,6,17.0.0
扇,10,扇,unihan:identity,63,6,17.0.0
扈,11,扈,unihan:identity,63,7,17.0.0
扉,12,扉,unihan:identity,63,8,17.0.0
扊,12,扊,unihan:identity,63,8,17.0.0
手,4,手,unihan:identity,64,0,17.0.0
才,23,纔,char-table:preferred-traditional+unihan:kTraditionalVariant,120,17,17.0.0
扎,5,扎,unihan:identity,64,1,17.0.0
扑,16,撲,char-table:preferred-traditional+unihan:kTraditionalVariant,64,12,17.0.0
扒,6,扒,unihan:identity,64,2,17.0.0
打,6,打,unihan:identity,64,2,17.0.0
扔,6,扔,unihan:identity,64,2,17.0.0
托,7,托,unihan:identity,64,3,17.0.0
扛,7,扛,unihan:identity,64,3,17.0.0
扞,7,扞,unihan:identity,64,3,17.0.0
扣,7,扣,unihan:identity,64,3,17.0.0
扦,7,扦,unihan:identity,64,3,17.0.0
执,11,執,char-table:preferred-traditional+unihan:kTraditionalVariant,32,8,17.0.0
扩,19,擴,char-table:preferred-traditional+unihan:kTraditionalVariant,64,15,17.0.0
扪,12,捫,char-table:preferred-traditional+unihan:kTraditionalVariant,64,8,17.0.0
扫,12,掃,char-table:preferred-traditional+unihan:kTraditionalVariant,64,8,17.0.0
扬,13,揚,char-table:preferred-traditional+unihan:kTraditionalVariant,64,9,17.0.0
扭,8,扭,unihan:identity,64,4,17.0.0
扮,8,扮,unihan:identity,64,4,17.0.0
扯,8,扯,unihan:identity,64,4,17.0.0
扰,19,擾,char-table:preferred-traditional+unihan:kTraditionalVariant,64,15,17.0.0
扳,8,扳,unihan:identity,64,4,17.0.0
扶,8,扶,unihan:identity,64,4,17.0.0
批,8,批,unihan:identity,64,4,17.0.0
扺,8,扺,unihan:identity,64,4,17.0.0
扼,8,扼,unihan:identity,64,4,17.0.0
扽,8,扽,unihan:identity,64,4,17.0.0
找,8,找,unihan:identity,64,4,17.0.0
承,8,承,unihan:identity,64,4,17.0.0
技,8,技,unihan:identity,64,4,17.0.0
抃,8,抃,unihan:identity,64,4,17.0.0
抄,8,抄,unihan:identity,64,4,17.0.0
抉,8,抉,unihan:identity,64,4,17.0.0
把,8,把,unihan:identity,64,4,17.0.0
抑,8,抑,unihan:identity,64,4,17.0.0
抒,8,抒,unihan:identity,64,4,17.0.0
抓,8,抓,unihan:identity,64,4,17.0.0
抔,8,抔,unihan:identity,64,4,17.0.0
投,8,投,unihan:identity,64,4,17.0.0
抖,8,抖,unihan:identity,64,4,17.0.0
抗,8,抗,unihan:identity,64,4,17.0.0
折,15,摺,char-table:preferred-traditional+unihan:kTraditionalVariant,64,11,17.0.0
抚,16,撫,char-table:preferred-traditional+unihan:kTraditionalVariant,64,12,17.0.0
抛,9,拋,unihan:kTraditionalVariant[17.0.0],64,5,17.0.0
抟,15,摶,char-table:preferred-traditional+unihan:kTraditionalVariant,64,11,17.0.0
抠,15,摳,char-table:preferred-traditional+unihan:kTraditionalVariant,64,11,17.0.0
抡,12,掄,char-table:preferred-traditional+unihan:kTraditionalVariant,64,8,17.0.0
抢,14,搶,char-table:preferred-traditional+unihan:kTraditionalVariant,64,10,17.0.0
护,21,護,char-table:preferred-traditional+unihan:kTraditionalVariant,149,14,17.0.0
报,12,報,char-table:preferred-traditional+unihan:kTraditionalVariant,32,9,17.0.0
抨,9,抨,unihan:identity,64,5,17.0.0
披,9,披,unihan:identity,64,5,17.0.0
抬,9,抬,unihan:identity,64,5,17.0.0
抱,9,抱,unihan:identity,64,5,17.0.0
抵,9,抵,unihan:identity,64,5,17.0.0
抹,9,抹,unihan:identity,64,5,17.0.0
抻,9,抻,unihan:identity,64,5,17.0.0
押,9,押,unihan:identity,64,5,17.0.0
抽,9,抽,unihan:identity,64,5,17.0.0
抿,9,抿,unihan:identity,64,5,17.0.0
拂,9,拂,unihan:identity,64,5,17.0.0
拃,9,拃,unihan:identity,64,5,17.0.0
拄,9,拄,unihan:identity,64,5,17.0.0
担,17,擔,char-table:preferred-traditional+unihan:kTraditionalVariant,64,13,17.0.0
拆,9,拆,unihan:identity,64,5,17.0.0
拇,9,拇,unihan:identity,64,5,17.0.0
拈,9,拈,unihan:identity,64,5,17.0.0
拉,9,拉,unihan:identity,64,5,17.0.0
拊,9,拊,unihan:identity,64,5,17.0.0
拌,9,拌,unihan:identity,64,5,17.0.0
拍,9,拍,unihan:identity,64,5,17.0.0
拎,9,拎,unihan:identity,64,5,17.0.0
拐,9,拐,unihan:identity,64,5,17.0.0
拒,9,拒,unihan:identity,64,5,17.0.0
拓,9,拓,unihan:identity,64,5,17.0.0
拔,9,拔,unihan:identity,64,5,17.0.0
拖,9,拖,unihan:identity,64,5,17.0.0
拗,9,拗,unihan:identity,64,5,17.0.0
拘,9,拘,unihan:identity,64,5,17.0.0
拙,9,拙,unihan:identity,64,5,17.0.0
招,9,招,unihan:identity,64,5,17.0.0
拜,9,拜,unihan:identity,64,5,17.0.0
拟,18,擬,char-table:preferred-traditional+unihan:kTraditionalVariant,64,14,17.0.0
拢,20,攏,char-table:preferred-traditional+unihan:kTraditionalVariant,64,16,17.0.0
拣,13,揀,char-table:preferred-traditional+unihan:kTraditionalVariant,64,9,17.0.0
拤,9,拤,unihan:identity,64,5,17.0.0
拥,17,擁,char-table:preferred-traditional+unihan:kTraditionalVariant,64,13,17.0.0
拦,21,攔,char-table:preferred-traditional+unihan:kTraditionalVariant,64,17,17.0.0
拧,18,擰,char-table:preferred-traditional+unihan:kTraditionalVariant,64,14,17.0.0
拨,16,撥,char-table:preferred-traditional+unihan:kTraditionalVariant,64,12,17.0.0
择,17,擇,char-table:preferred-traditional+unihan:kTraditionalVariant,64,13,17.0.0
括,10,括,unihan:identity,64,6,17.0.0
拭,10,拭,unihan:identity,64,6,17.0.0
拮,10,拮,unihan:identity,64,6,17.0.0
拯,10,拯,unihan:identity,64,6,17.0.0
拱,10,拱,unihan:identity,64,6,17.0.0
拳,10,拳,unihan:identity,64,6,17.0.0
拴,10,拴,unihan:identity,64,6,17.0.0
拶,10,拶,unihan:identity,64,6,17.0.0
拷,10,拷,unihan:identity,64,6,17.0.0
拼,10,拼,unihan:identity,64,6,17.0.0
拽,10,拽,unihan:identity,64,6,17.0.0
拾,10,拾,unihan:identity,64,6,17.0.0
拿,10,拿,unihan:identity,64,6,17.0.0
持,10,持,unihan:identity,64,6,17.0.0
挂,12,掛,unihan:kTraditionalVariant[17.0.0],64,8,17.0.0
指,10,指,unihan:identity,64,6,17.0.0
挈,10,挈,unihan:identity,64,6,17.0.0
按,10,按,unihan:identity,64,6,17.0.0
挎,10,挎,unihan:identity,64,6,17.0.0
挑,10,挑,unihan:identity,64,6,17.0.0
挓,10,挓,unihan:identity,64,6,17.0.0
挖,10,挖,unihan:identity,64,6,17.0.0
挚,15,摯,char-table:preferred-traditional+unihan:kTraditionalVariant,64,11,17.0.0
挛,23,攣,char-table:preferred-traditional+unihan:kTraditionalVariant,64,19,17.0.0
挝,17,撾,char-table:preferred-traditional+unihan:kTraditionalVariant,64,13,17.0.0
挞,17,撻,char-table:preferred-traditional+unihan:kTraditionalVariant,64,13,17.0.0
挟,11,挾,char-table:preferred-traditional+unihan:kTraditionalVariant,64,7,17.0.0
挠,16,撓,char-table:preferred-traditional+unihan:kTraditionalVariant,64,12,17.0.0
挡,17,擋,char-table:preferred-traditional+unihan:kTraditionalVariant,64,13,17.0.0
挣,12,掙,unihan:kTraditionalVariant[17.0.0],64,8,17.0.0
挤,18,擠,char-table:preferred-traditional+unihan:kTraditionalVariant,64,14,17.0.0
挥,13,揮,char-table:preferred-traditional+unihan:kTraditionalVariant,64,9,17.0.0
挦,16,撏,char-table:preferred-traditional+unihan:kTraditionalVariant,64,12,17.0.0
挨,11,挨,unihan:identity,64,7,17.0.0
挪,11,挪,unihan:identity,64,7,17.0.0
挫,11,挫,unihan:identity,64,7,17.0.0
振,11,振,unihan:identity,64,7,17.0.0
挲,11,挲,unihan:identity,64,7,17.0.0
挹,11,挹,unihan:identity,64,7,17.0.0
挺,11,挺,unihan:identity,64,7,17.0.0
挽,14,輓,unihan:kTraditionalVariant[17.0.0],159,7,17.0.0
捂,11,捂,unihan:identity,64,7,17.0.0
捃,11,捃,unihan:identity,64,7,17.0.0
捅,11,捅,unihan:identity,64,7,17.0.0
捆,11,捆,unihan:identity,64,7,17.0.0
捉,11,捉,unihan:identity,64,7,17.0.0
捋,11,捋,unihan:identity,64,7,17.0.0
捌,11,捌,unihan:identity,64,7,17.0.0
捍,11,捍,unihan:identity,64,7,17.0.0
捎,11,捎,unihan:identity,64,7,17.0.0
捏,11,捏,unihan:identity,64,7,17.0.0
捐,11,捐,unihan:identity,64,7,17.0.0
捕,11,捕,unihan:identity,64,7,17.0.0
捞,16,撈,char-table:preferred-traditional+unihan:kTraditionalVariant,64,12,17.0.0
损,14,損,char-table:preferred-traditional+unihan:kTraditionalVariant,64,10,17.0.0
捡,17,撿,char-table:preferred-traditional+unihan:kTraditionalVariant,64,13,17.0.0
换,13,換,unihan:kTraditionalVariant[17.0.0],64,9,17.0.0
捣,14,搗,char-table:preferred-traditional+unihan:kTraditionalVariant,64,10,17.0.0
捧,12,捧,unihan:identity,64,8,17.0.0
捩,12,捩,unihan:identity,64,8,17.0.0
捭,12,捭,unihan:identity,64,8,17.0.0
据,17,據,char-table:preferred-traditional+unihan:kTraditionalVariant,64,13,17.0.0
捯,12,捯,unihan:identity,64,8,17.0.0
捶,13,捶,unihan:identity,64,9,17.0.0
捷,12,捷,unihan:identity,64,8,17.0.0
捺,12,捺,unihan:identity,64,8,17.0.0
捻,12,捻,unihan:identity,64,8,17.0.0
捽,12,捽,unihan:identity,64,8,17.0.0
掀,12,掀,unihan:identity,64,8,17.0.0
掂,12,掂,unihan:identity,64,8,17.0.0
掇,12,掇,unihan:identity,64,8,17.0.0
授,12,授,unihan:identity,64,8,17.0.0
掉,12,掉,unihan:identity,64,8,17.0.0
掊,12,掊,unihan:identity,64,8,17.0.0
掌,12,掌,unihan:identity,64,8,17.0.0
掎,12,掎,unihan:identity,64,8,17.0.0
掏,12,掏,unihan:identity,64,8,17.0.0
掐,12,掐,unihan:identity,64,8,17.0.0
排,12,排,unihan:identity,64,8,17.0.0
掖,12,掖,unihan:identity,64,8,17.0.0
掘,12,掘,unihan:identity,64,8,17.0.0
掞,12,掞,unihan:identity,64,8,17.0.0
掠,12,掠,unihan:identity,64,8,17.0.0
探,12,探,unihan:identity,64,8,17.0.0
掣,12,掣,unihan:identity,64,8,17.0.0
接,12,接,unihan:identity,64,8,17.0.0
控,12,控,unihan:identity,64,8,17.0.0
推,12,推,unihan:identity,64,8,17.0.0
掩,12,掩,unihan:identity,64,8,17.0.0
措,12,措,unihan:identity,64,8,17.0.0
掬,12,掬,unihan:identity,64,8,17.0.0
掭,12,掭,unihan:identity,64,8,17.0.0
掮,12,掮,unihan:identity,64,8,17.0.0
掰,12,掰,unihan:identity,64,8,17.0.0
掳,17,擄,char-table:preferred-traditional+unihan:kTraditionalVariant,64,13,17.0.0
掴,15,摑,char-table:preferred-traditional+unihan:kTraditionalVariant,64,11,17.0.0
